model,dataset,threshold,n,corrected,corrected_pct,accuracy,delta,net_score,fix_rate,regression_rate,cc,cw,wc,ww,baseline_acc
qwen,gsm8k,4,1319,1266,95.98,68.01,-5.76,-76,1.45,8.32,892,81,5,341,73.77
qwen,gsm8k,5,1319,1268,96.13,68.01,-5.76,-76,1.45,8.32,892,81,5,341,73.77
qwen,gsm8k,6,1319,1289,97.73,67.32,-6.44,-85,1.45,9.25,883,90,5,341,73.77
qwen,gsm8k,7,1319,1291,97.88,67.32,-6.44,-85,1.45,9.25,883,90,5,341,73.77
qwen,gsm8k,8,1319,1292,97.95,67.32,-6.44,-85,1.45,9.25,883,90,5,341,73.77
qwen,gsm8k,9,1319,1294,98.1,67.32,-6.44,-85,1.45,9.25,883,90,5,341,73.77
qwen,gsm8k,10,1319,1296,98.26,67.32,-6.44,-85,1.45,9.25,883,90,5,341,73.77
qwen,triviaqa,1,1000,0,0.0,59.2,0.0,0,0.0,0.0,592,0,0,408,59.2
qwen,triviaqa,2,1000,148,14.8,56.2,-3.0,-30,0.0,5.07,562,30,0,408,59.2
qwen,triviaqa,3,1000,153,15.3,56.2,-3.0,-30,0.0,5.07,562,30,0,408,59.2
qwen,triviaqa,4,1000,162,16.2,55.9,-3.3,-33,0.0,5.57,559,33,0,408,59.2
qwen,triviaqa,5,1000,165,16.5,55.9,-3.3,-33,0.0,5.57,559,33,0,408,59.2
qwen,triviaqa,6,1000,987,98.7,38.2,-21.0,-210,0.25,35.64,381,211,1,407,59.2
qwen,triviaqa,7,1000,990,99.0,38.2,-21.0,-210,0.25,35.64,381,211,1,407,59.2
qwen,triviaqa,8,1000,991,99.1,38.2,-21.0,-210,0.25,35.64,381,211,1,407,59.2
qwen,triviaqa,9,1000,991,99.1,38.2,-21.0,-210,0.25,35.64,381,211,1,407,59.2
qwen,triviaqa,10,1000,992,99.2,38.2,-21.0,-210,0.25,35.64,381,211,1,407,59.2
qwen,strategyqa,1,2290,0,0.0,67.64,0.0,0,0.0,0.0,1549,0,0,741,67.64
qwen,strategyqa,2,2290,12,0.52,67.55,-0.09,-2,0.4,0.32,1544,5,3,738,67.64
qwen,strategyqa,3,2290,14,0.61,67.6,-0.04,-1,0.54,0.32,1544,5,4,737,67.64
qwen,strategyqa,4,2290,38,1.66,67.6,-0.04,-1,1.35,0.71,1538,11,10,731,67.64
qwen,strategyqa,5,2290,65,2.84,67.51,-0.13,-3,2.16,1.23,1530,19,16,725,67.64
qwen,strategyqa,6,2290,67,2.93,67.51,-0.13,-3,2.29,1.29,1529,20,17,724,67.64
qwen,strategyqa,7,2290,76,3.32,67.51,-0.13,-3,2.56,1.42,1527,22,19,722,67.64
qwen,strategyqa,8,2290,299,13.06,68.73,1.09,25,13.09,4.65,1477,72,97,644,67.64
